date	IBIO1010_12290	IBIO1011_12598	IBIO1011_13965	IBIO1011_16861	IBIO1011_21005	IBIO1110_13252	IBIO1110_13253	IBIO1110_21008	IBIO1110_27987	IBIO1701B_27988	IBIO1999_18992	IBIO2102_27989	IBIO2102L_27990	IBIO2102L_27991	IBIO2102L_27992	IBIO2102L_27993	IBIO2102L_28257	IBIO2102L_28258	IBIO2240_13066	IBIO2241_13067	IBIO2241_13627	IBIO2241_27994	IBIO2241_28600	IBIO2650_25751	IBIO2651_25752	IBIO2651_25753	IBIO2651_25754	IBIO2651_25755	IBIO3160_27999	IBIO3160_28000	IBIO3161_28238	IBIO3161_28240	IBIO3161_28241	IBIO3161_28242	IBIO3161_28595	IBIO3161_28596	IBIO3161_28597	IBIO3161_28598	IBIO3216_28001	IBIO3216L_28243	IBIO3216L_28244	IBIO3216L_28245	IBIO3216L_28246	IBIO3260_27995	IBIO3260L_27996	IBIO3260L_27997	IBIO3260L_27998	IBIO3260L_28580	IBIO3260L_28581	IBIO3260L_28582	IBIO3270_28002	IBIO3271_28003	IBIO3271_28004	IBIO3271_28005	IBIO3271_28583	IBIO3271_28584	IBIO3271_28594	IBIO3370_28006	IBIO3470_28007	IBIO3471_28008	IBIO3471_28009	IBIO3471_28010	IBIO3471_28599	IBIO3680_28011	IBIO3702_25878	IBIO3702_25879	IBIO3702_25880	IBIO3702_25881	IBIO3702_25882	IBIO3702_25883	IBIO3702_25884	IBIO3702_25885	IBIO3870_21143	IBIO3991_15306	IBIO4111_28013	IBIO4502_28014	IBIO4690_28015	IBIO4701_26780	IBIO4701_28251	IBIO4701_28252	IBIO4701_28253	IBIO4701_28254	IBIO4701_28255	IBIO4701_28256	IBIO4702_25888	IBIO4702_25889	IBIO4702_25890	IBIO4702_25891	IBIO4702_25892	IBIO4702_25893	IBIO4702_25894	IBIO4703_25896	IBIO4703_25897	IBIO4703_25898	IBIO4703_25899	IBIO4703_25900	IBIO4703_25901	IBIO4703_25902	IBIO4704_25904	IBIO4704_25905	IBIO4704_25906	IBIO4704_25907	IBIO4704_25908	IBIO4704_25909	IBIO4704_25910	IBIO4770_13695	IBIO4780_25911	IBIO4780_25912	IBIO4780_25913	IBIO4780_25914	IBIO4780_25915	IBIO4780_25916	IBIO4790_25917	IBIO4790_25918	IBIO4790_25919	IBIO4790_25920	IBIO4790_25921	IBIO6002_25923	IBIO6002_25924	IBIO6002_25925	IBIO6002_25926	IBIO6002_25927	IBIO6003_25928	IBIO6003_25930	IBIO6003_25931	IBIO6003_25932	IBIO6004_14082	IBIO6005_14083	IBIO6006_28282	IBIO6007_28283	IBIO6402_14057	IBIO6961_25937	IBIO6961_25938	IBIO6961_25939	IBIO6961_25940	IBIO6962_25941	IBIO6962_25942	IBIO6962_25943	IBIO6962_25944	IBIO6963_14060	IBIO6970_25945	IBIO6970_25946	IBIO6970_25947	IBIO6970_25948	IBIO6980_25949	IBIO6980_25950	IBIO6980_25951	IBIO6980_25952	IBIO6981_25953	IBIO6981_25954	IBIO6981_25955	IBIO6981_25956	IBIO6982_14064	IBIO6982_25957	IBIO6982_25958	IBIO6982_25959	IBIO6983_28278	IBIO6983_28279	IBIO6983_28280	IBIO6983_28281	IBIO6990_24321	IBIO6990_26174	IBIO6997_21062
1707241129	42	17	18	0	7	15	22	6	4	55	0	130	25	25	25	25	25	25	80	30	30	30	20	60	15	15	15	15	80	40	40	40	40	40	20	20	20	20	45	20	0	20	20	99	40	40	40	20	20	20	120	40	40	40	20	20	20	60	100	35	35	35	20	60	0	0	0	0	0	0	0	0	60	0	24	40	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	15	15	15	15	15	15	10	10	10	10	10	4	4	4	4	4	0	0	0	0	4	4	0	0	1	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	0	0	4
1707241147	41	17	18	1	5	15	22	6	3	55	0	130	25	25	25	25	25	25	80	30	30	30	20	60	15	15	15	15	80	40	40	40	40	40	20	20	20	20	45	20	0	20	20	99	40	40	40	20	20	20	120	40	40	40	20	20	20	60	100	35	35	35	20	60	0	0	0	0	0	0	0	0	60	0	22	39	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	14	15	15	14	15	10	9	10	9	9	4	4	4	4	4	0	0	0	0	4	4	0	0	1	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	0	0	4
1707241221	40	17	18	0	5	15	22	5	3	54	0	130	25	25	25	25	25	25	80	30	30	30	20	60	15	15	15	15	80	40	40	40	40	40	20	20	20	20	45	20	0	20	20	99	40	40	40	20	20	20	120	40	40	40	20	20	20	60	100	35	35	35	20	60	0	0	0	0	0	0	0	0	60	0	22	39	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	12	14	15	14	15	10	9	10	9	9	4	4	4	4	4	0	0	0	0	4	4	0	0	1	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	0	0	4
1707241307	40	17	17	1	5	15	22	5	3	55	0	130	25	25	25	25	25	25	80	30	30	30	20	60	15	15	15	15	80	40	40	40	40	40	20	20	20	20	45	20	0	20	20	99	40	40	40	20	20	20	120	40	40	40	20	20	20	60	100	35	35	35	20	60	0	0	0	0	0	0	0	0	60	0	22	39	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	12	14	15	14	15	10	9	10	9	9	4	4	4	4	4	0	0	0	0	4	4	0	0	1	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	0	0	4
1707241415	40	17	17	1	5	15	22	5	3	55	0	130	25	25	25	25	25	25	80	30	30	30	20	60	15	15	15	15	80	40	40	40	40	40	20	20	20	20	45	15	0	15	15	99	40	40	40	20	20	20	120	40	40	40	20	20	20	60	100	35	35	35	20	60	0	0	0	0	0	0	0	0	60	0	21	39	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	12	13	15	13	15	10	9	10	9	9	4	4	4	4	4	0	0	0	0	4	4	0	0	1	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	0	0	4
1707241512	40	17	18	1	4	15	22	5	3	55	0	127	24	25	24	24	25	25	75	27	29	29	20	59	15	15	15	14	79	39	39	39	40	40	20	20	20	20	44	14	0	15	15	98	40	40	39	20	20	20	118	40	40	40	20	20	18	60	99	35	35	35	19	59	0	0	0	0	0	0	0	0	58	0	21	39	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	12	13	15	13	15	10	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707241556	40	17	18	1	4	15	22	5	3	55	0	126	24	24	24	24	25	25	75	28	29	28	20	59	15	15	15	14	78	39	38	39	40	40	20	20	20	20	43	13	0	15	15	98	40	40	39	20	20	20	117	39	40	40	20	20	18	60	98	34	35	35	19	59	0	0	0	0	0	0	0	0	58	0	21	39	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	12	13	15	13	15	10	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707241623	40	17	18	1	4	15	22	5	3	55	0	126	24	24	24	24	25	25	74	28	29	28	19	59	15	15	15	14	78	38	38	39	39	40	20	20	20	20	42	12	0	15	15	98	40	40	39	20	20	20	117	39	40	40	20	20	18	58	98	34	35	35	19	59	0	0	0	0	0	0	0	0	55	0	21	39	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	12	13	15	13	15	10	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707241717	40	17	18	1	4	15	22	5	3	54	0	126	24	24	24	24	25	25	73	28	29	27	19	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	55	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707241814	40	17	18	1	4	15	22	5	3	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	55	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707241848	39	16	18	1	4	15	22	4	3	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	55	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	14	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707242034	38	16	18	0	4	15	22	4	2	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	55	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707242132	38	16	18	0	4	15	22	4	2	54	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	55	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707242210	38	16	18	0	4	15	22	4	2	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	56	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707242307	38	16	18	0	4	15	22	4	2	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	56	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707242329	38	16	18	0	4	15	22	4	2	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	56	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707242343	38	16	18	0	4	15	22	4	2	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	56	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	3	3	4	4	0	0	4
1707250748	38	16	18	0	4	15	22	4	2	53	0	126	24	24	24	24	25	25	73	28	28	27	20	59	15	15	15	14	77	38	38	39	39	40	19	20	20	20	41	12	0	15	14	97	40	40	39	20	20	19	115	38	40	39	20	20	18	58	97	33	35	35	19	59	0	0	0	0	0	0	0	0	56	0	21	39	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	13	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	3	4	4	4	4	4	3	3	4	4	0	0	4
1707251027	38	16	18	0	4	15	22	4	2	53	0	116	25	23	23	24	25	25	71	28	27	26	20	56	14	14	14	14	69	35	36	33	39	40	19	17	20	20	31	11	0	13	7	81	40	40	36	18	12	16	99	33	40	34	19	20	13	53	86	26	34	35	16	54	0	0	0	0	0	0	0	0	41	0	21	35	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	11	13	15	12	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	3	4	4	4	4	4	3	3	4	4	0	0	4
1707251309	38	16	18	0	4	15	21	4	3	53	0	116	24	24	23	24	25	25	65	28	24	26	17	55	14	14	13	14	64	32	37	29	39	40	17	14	20	20	19	3	0	10	6	72	40	36	35	18	11	13	90	30	39	34	19	20	8	49	76	23	32	33	13	50	0	0	0	0	0	0	0	0	31	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	10	13	15	12	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	3	4	4	4	4	4	3	3	4	4	0	0	4
1707251351	38	16	18	0	4	15	21	4	3	53	0	116	24	24	23	24	25	25	65	28	24	26	17	55	14	14	13	14	64	32	37	29	39	40	17	14	20	20	19	3	0	10	6	72	40	36	35	18	11	13	90	30	39	34	19	20	8	49	76	23	32	33	13	50	0	0	0	0	0	0	0	0	31	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	10	13	15	12	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	3	4	4	4	4	4	3	3	4	4	0	0	4
1707251441	38	16	18	0	4	15	21	4	3	53	0	116	24	24	23	24	25	25	64	28	24	26	16	54	14	13	13	14	54	28	31	25	39	40	16	11	20	20	11	0	0	10	1	66	40	35	33	18	8	13	76	28	39	30	19	20	0	48	62	14	31	32	10	44	0	0	0	0	0	0	0	0	28	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	10	13	15	12	15	9	9	10	8	9	4	4	4	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	4	4	4	4	4	0	0	0	0	0	0	0	0	4	4	3	4	4	4	4	3	3	3	4	4	0	0	4
