date	IQUI1001_24567	IQUI1001C_25152	IQUI1001C_25153	IQUI1001C_25238	IQUI1002_11071	IQUI1002_11100	IQUI1002_11101	IQUI1002_13951	IQUI2010_24569	IQUI2010C_25157	IQUI2010C_25158	IQUI2010C_25159	IQUI2010C_25160	IQUI2020_11229	IQUI2020C_12351	IQUI2020C_12353	IQUI2020C_13741	IQUI2020C_27520	IQUI2021_11237	IQUI2021C_12354	IQUI2021C_12355	IQUI2021C_16924	IQUI2021C_27521	IQUI2023_10488	IQUI2023_10489	IQUI2023_10896	IQUI2023_10962	IQUI2023_13749	IQUI2024_10490	IQUI2024_10491	IQUI2024_10963	IQUI2024_10964	IQUI2024_15281	IQUI2024_28750	IQUI2070_10965	IQUI2090_11576	IQUI2091_25178	IQUI2091_25179	IQUI2091_25180	IQUI2091_25240	IQUI2101_13967	IQUI2101L_25181	IQUI2101L_25182	IQUI2101L_25183	IQUI2101L_25184	IQUI2102_10457	IQUI2102C_12794	IQUI2102C_12795	IQUI2102C_27559	IQUI2102C_27560	IQUI2104_11579	IQUI2104_11580	IQUI2104_11581	IQUI2104_13969	IQUI2200_10571	IQUI2200L_25210	IQUI2200L_25212	IQUI2200L_25214	IQUI2200L_25241	IQUI2300_11432	IQUI2300C_12798	IQUI2300C_12799	IQUI2300C_16986	IQUI2301_11596	IQUI2301_11597	IQUI2301_11598	IQUI2301_13248	IQUI3001_11599	IQUI3001C_12806	IQUI3001C_12808	IQUI3001C_27575	IQUI3001C_27576	IQUI3002_11421	IQUI3002_11422	IQUI3002_11423	IQUI3002_18541	IQUI3010_10008	IQUI3010_27577	IQUI3012_25244	IQUI3012_25245	IQUI3012_25246	IQUI3012_25247	IQUI3031_11238	IQUI3032_25248	IQUI3032_25249	IQUI3032_25250	IQUI3032_25251	IQUI3039_10966	IQUI3040_10493	IQUI3041_25252	IQUI3041_25253	IQUI3041_25254	IQUI3041_25255	IQUI3041_27579	IQUI3042_25256	IQUI3042_25257	IQUI3042_25258	IQUI3042_25259	IQUI3090_10009	IQUI3091_10010	IQUI3201_26910	IQUI3315_26911	IQUI3322_26912	IQUI3501_11668	IQUI3991_14105	IQUI4101_26915	IQUI4211_13300	IQUI4212_13301	IQUI4301_11242	IQUI4302_11245	IQUI4303_13312	IQUI4304_25132	IQUI4310_26916	IQUI4402_11243	IQUI4403_14106	IQUI4511_26917	IQUI4514_26918	IQUI6007_20150	IQUI6008_26919	IQUI6402_14944	IQUI6970_23566	IQUI6980_14946	IQUI6981_14947	IQUI6982_24589	IQUI6983_28546	IQUI6990_24590	IQUI6997_26920
1707241129	30	11	14	0	3	13	9	20	99	25	25	25	24	110	27	28	27	28	125	31	32	31	31	20	20	22	22	22	25	25	25	25	25	0	48	90	22	23	22	23	80	20	20	20	20	90	22	23	22	23	20	20	20	20	90	22	22	22	22	80	27	27	26	20	20	20	20	90	22	22	22	22	22	23	22	23	60	30	22	23	22	23	80	20	20	20	20	90	80	18	18	18	18	18	20	20	20	20	84	0	25	25	25	0	0	29	0	0	10	10	0	0	23	10	0	25	25	0	0	0	0	0	0	0	0	0	0
1707241147	30	11	14	0	3	13	9	20	99	25	25	25	24	110	27	28	27	28	125	31	32	31	31	20	20	22	22	22	25	25	25	25	25	0	48	90	22	23	22	23	80	20	20	20	20	90	22	23	22	23	20	20	20	20	90	22	22	22	22	80	27	27	26	20	20	20	20	90	22	22	22	22	22	23	22	23	60	30	22	23	22	23	80	20	20	20	20	90	80	18	18	18	18	18	20	20	20	20	84	0	25	25	25	0	0	25	0	0	6	9	0	0	20	10	0	25	25	0	0	0	0	0	0	0	0	0	0
1707241221	29	11	13	0	3	13	8	20	99	25	25	25	24	110	27	28	27	28	125	31	32	31	31	20	20	22	22	22	25	25	25	25	25	0	48	90	22	23	22	23	80	20	20	20	20	90	22	23	22	23	20	20	20	20	90	22	22	22	22	80	27	27	26	20	20	20	20	90	22	22	22	22	22	23	22	23	60	30	22	23	22	23	80	20	20	20	20	90	80	18	18	18	18	18	20	20	20	20	84	0	25	25	25	0	0	25	0	0	6	9	0	0	19	10	0	25	24	0	0	0	0	0	0	0	0	0	0
1707241307	28	10	13	0	2	13	8	20	99	25	25	25	24	110	27	28	27	28	125	31	32	31	31	20	20	22	22	22	25	25	25	25	25	0	48	90	22	23	22	23	80	20	20	20	20	90	22	23	22	23	20	20	20	20	90	22	22	22	22	80	27	27	26	20	20	20	20	90	22	22	22	22	22	23	22	23	60	30	22	23	22	23	80	20	20	20	20	90	80	18	18	18	18	18	20	20	20	20	84	0	25	25	25	0	0	25	0	0	5	9	0	0	19	10	0	25	24	0	0	0	0	0	0	0	0	0	0
1707241415	27	9	13	0	2	13	8	20	98	25	25	25	23	110	27	28	27	28	125	31	32	0	31	20	20	22	22	22	25	25	25	25	25	0	48	90	22	23	22	23	80	20	20	20	20	90	22	23	22	23	20	20	20	20	90	22	22	22	22	80	27	27	26	20	20	20	20	90	22	22	22	22	22	23	22	23	60	30	22	23	22	23	80	20	20	20	20	90	80	18	18	18	18	0	20	20	20	20	84	0	25	25	25	0	0	23	0	0	3	9	0	0	19	9	0	25	24	0	0	0	0	0	0	0	0	0	0
1707241512	26	9	12	0	3	11	8	20	94	24	23	25	22	109	27	27	27	28	123	31	31	0	30	20	20	22	22	21	25	24	25	24	25	0	48	89	21	23	22	23	77	20	19	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	19	20	88	21	22	21	22	22	22	22	22	58	30	22	23	21	22	78	18	20	20	20	89	80	18	18	18	17	0	20	20	20	20	83	0	25	25	25	0	0	22	0	0	3	9	0	0	19	9	0	25	24	0	0	0	0	0	0	0	0	0	0
1707241556	26	9	12	0	3	11	8	20	94	23	24	25	22	108	27	27	26	28	122	31	30	0	30	20	20	22	22	20	25	24	25	23	25	0	48	88	20	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	57	30	22	23	20	22	77	17	20	20	20	88	78	18	18	18	16	0	19	19	20	20	81	0	24	23	25	0	0	22	0	0	2	9	0	0	19	9	0	24	24	0	0	0	0	0	0	0	0	0	0
1707241623	26	9	12	0	3	11	8	20	94	23	24	25	22	108	27	27	26	28	122	31	30	0	30	20	20	22	22	20	25	24	25	23	25	0	48	87	19	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	57	30	22	23	20	22	75	16	19	20	20	88	76	18	18	18	16	0	18	18	20	20	81	0	24	23	23	0	0	22	0	0	2	9	0	0	19	9	0	24	24	0	0	0	0	0	0	0	0	0	0
1707241717	26	9	12	0	3	11	8	20	94	23	24	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	22	0	0	2	9	0	0	19	9	0	24	24	0	0	0	0	0	0	0	0	0	0
1707241814	26	9	12	0	3	11	8	20	94	23	24	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	22	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707241848	25	8	12	0	2	11	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	22	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707242034	25	8	12	0	2	11	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707242132	25	8	12	0	2	11	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707242210	25	8	12	0	2	11	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707242307	24	7	12	0	2	10	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707242329	24	7	12	0	2	10	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707242343	24	7	12	0	2	10	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	78	26	26	26	20	19	20	19	87	21	22	20	22	21	22	22	22	56	30	22	23	20	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	21	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
1707250748	24	7	12	0	2	10	8	20	93	23	23	25	22	108	27	27	26	28	122	31	30	32	30	20	20	22	22	20	25	24	25	23	25	0	48	86	18	23	22	23	76	20	18	19	19	89	21	23	22	23	19	20	20	20	87	20	21	22	22	77	26	26	25	19	19	20	19	86	20	22	20	22	20	22	22	22	55	30	22	23	19	21	74	16	18	20	20	87	76	18	18	17	16	0	18	18	20	20	79	0	24	20	22	0	0	21	0	0	2	9	0	0	19	8	0	24	24	0	0	0	0	0	0	0	0	0	0
