date	MEDI1000_27100	MEDI1100_13098	MEDI1101_11558	MEDI1102_11559	MEDI1103_11560	MEDI1104_11561	MEDI1105_11562	MEDI1106_11563	MEDI1200_11564	MEDI1208_11565	MEDI1209_11566	MEDI1210_11567	MEDI1211_11568	MEDI1212_11569	MEDI1216_11571	MEDI1218_12091	MEDI1219_12975	MEDI1229_26095	MEDI1999_11572	MEDI2000_12313	MEDI2001_27101	MEDI2002B_22120	MEDI2003_22651	MEDI2004_22652	MEDI2006_27102	MEDI2007_27103	MEDI2008B_27104	MEDI2009_27105	MEDI2100_27106	MEDI2107_11573	MEDI2108_11574	MEDI2109_15007	MEDI2110_11575	MEDI2300_11577	MEDI2301_11578	MEDI2303_11582	MEDI2304_11585	MEDI2305_11586	MEDI2306_21125	MEDI2307_11588	MEDI2308_11589	MEDI2309_11590	MEDI2310_11591	MEDI2311_11604	MEDI2312_11605	MEDI2313_11606	MEDI3000_27107	MEDI3111_11607	MEDI3112_11608	MEDI3113_11609	MEDI3114_11610	MEDI3400_11611	MEDI3403_11613	MEDI3406_11614	MEDI3407_21126	MEDI3408_11616	MEDI3409_12060	MEDI3410_21127	MEDI3411_11618	MEDI3412_11622	MEDI3413_11624	MEDI3414_11626	MEDI3415_12061	MEDI3416_11630	MEDI3417_11631	MEDI3418_26099	MEDI3420_11635	MEDI3422_11637	MEDI3423_11638	MEDI3424_11642	MEDI3425_11644	MEDI3426_11645	MEDI3427_11647	MEDI3429_12062	MEDI3430_11648	MEDI3432_11649	MEDI3433_11650	MEDI3434_12063	MEDI3435_11651	MEDI3436_11652	MEDI3437_11653	MEDI3438_11654	MEDI3439_11655	MEDI3440_12064	MEDI3441_12065	MEDI3442_12066	MEDI3443_24770	MEDI3446_26036	MEDI3447_26035	MEDI3500_11656	MEDI3501_11658	MEDI3502_11659	MEDI3503_11660	MEDI3504_11661	MEDI3515_11330	MEDI3516_11331	MEDI3517_11332	MEDI3518_11333	MEDI3519_11334	MEDI3520_11335	MEDI3521_11336	MEDI3522_11337	MEDI3523_11338	MEDI3524_11339	MEDI3525_11340	MEDI3526_11341	MEDI3527_11342	MEDI3528_11343	MEDI3529_11344	MEDI3530_11345	MEDI3531_11346	MEDI3532_11347	MEDI3533_11348	MEDI3534_11349	MEDI3535_11350	MEDI3536_14985	MEDI3537_11351	MEDI3538_11352	MEDI3539_11353	MEDI3540_11354	MEDI3541_11355	MEDI3542_11356	MEDI3543_24771	MEDI3544_24772	MEDI3547_19546	MEDI3548_12966
1707241129	72	19	19	60	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	27	30	30	45	80	77	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241147	72	19	19	60	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	27	30	29	45	80	77	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241221	72	19	19	60	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	27	30	29	45	80	77	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241307	71	19	19	60	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	27	30	29	45	80	77	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241415	71	18	18	60	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	27	30	29	45	80	77	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241512	70	17	17	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	26	30	29	45	80	76	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241556	69	16	16	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	25	30	29	45	80	76	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241623	69	16	16	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	40	24	30	29	44	80	76	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241717	69	16	16	58	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	28	28	39	80	76	30	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241814	69	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	38	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	30	12
1707241848	69	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707242034	68	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707242132	68	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707242210	68	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707242307	68	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707242329	68	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707242343	68	15	15	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707250748	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	24	27	28	37	80	76	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	83	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707251027	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	39	21	21	23	14	80	74	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	12
1707251309	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	37	20	18	20	5	80	72	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	11
1707251351	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	37	20	18	19	5	80	72	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	11
1707251441	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	37	19	15	19	0	80	72	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	11
1707251521	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	37	20	14	18	0	80	72	29	30	16	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	11
1707251605	68	14	14	59	3	6	3	16	-4	-3	12	19	-9	9	21	1	-3	13	-23	3	36	17	14	18	0	80	72	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707251658	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	18	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707251727	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	18	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707251900	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	18	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707251927	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	18	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707252025	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	18	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707252100	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	17	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707252124	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	17	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707252143	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	17	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
1707252259	68	14	14	59	3	6	3	16	-4	-3	12	20	-8	10	22	1	-3	13	-23	3	36	17	14	17	0	80	71	29	30	17	23	10	13	30	4	24	22	22	25	13	12	8	13	13	9	14	51	12	4	18	5	25	13	18	9	9	10	0	-3	0	0	-2	0	15	13	12	16	11	4	5	5	5	5	5	5	30	5	15	4	4	4	4	4	4	4	4	5	0	0	84	85	32	70	85	70	70	11	67	68	70	70	13	65	68	70	70	13	65	68	45	44	12	38	45	45	45	10	39	45	45	45	9	40	45	29	10
