date	EGOB1100B_22952	EGOB1100B_28114	EGOB1101B_28099	EGOB1104_28284	EGOB1105_24179	EGOB1106_25409	EGOB1112B_14552	EGOB1112B_22879	EGOB1201B_28102	EGOB1209B_17701	EGOB1209B_20937	EGOB1209B_20939	EGOB1211B_28207	EGOB1500_17235	EGOB2100_28211	EGOB2101_24181	EGOB2101C_24182	EGOB2103_28259	EGOB2104_28260	EGOB3007_28263	EGOB3009_28264	EGOB3019_18848	EGOB3020_18849	EGOB3021_18850	EGOB3023_23600	EGOB3112_25578	EGOB3115_28265	EGOB3506_26664	EGOB3510_28268	EGOB3511_28269	EGOB3513_26671	EGOB3901_21665	EGOB4003_15215	EGOB4004_24188	EGOB4100_13062	EGOB4103_24189	EGOB4104_13064	EGOB4105_28270	EGOB4106_28271	EGOB4107_28272	EGOB4109_13574	EGOB4110_10994	EGOB4112_15573	EGOB4112_26049	EGOB4112_26050	EGOB4112_26051	EGOB4112_26052	EGOB4112_26053	EGOB4112_26108	EGOB4112_26158	EGOB4113_11118	EGOB4115_13415	EGOB4119_28273	EGOB4122_21669	EGOB4211_23529	EGOB4803_28274	EGOB4804_28275	EGOB4808_28363	EGOB4818_26193	EGOB4820_28276	EGOB4821_28277	EGOB4822_28684
1707261213	11	73	35	31	36	39	9	48	46	0	29	27	37	0	11	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	15	21	26	18	15	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	0
1707261257	11	73	35	32	35	39	9	48	46	0	29	27	37	0	11	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	14	21	26	18	15	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	0
1707261315	11	73	36	32	35	39	9	48	46	0	29	26	37	0	11	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	14	20	25	18	14	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	0
1707261354	11	73	36	31	36	39	9	48	46	0	29	26	37	0	11	25	25	35	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	14	20	25	18	14	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	0
1707261538	0	72	4	13	28	21	8	43	43	0	19	17	33	0	7	25	25	34	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	14	20	25	18	13	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	5
1707261603	0	70	4	12	28	20	7	43	43	0	17	16	33	0	8	25	25	34	37	14	19	0	0	0	0	1	28	25	30	0	18	0	0	0	14	20	25	18	13	0	17	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	5
1707261646	0	67	0	0	25	1	6	41	42	0	12	11	26	0	7	25	25	34	36	14	19	0	0	0	0	1	27	25	30	0	18	0	0	0	14	20	25	18	13	0	16	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	5
1707261709	0	67	0	0	25	1	6	41	42	0	11	10	23	0	7	25	25	34	36	14	18	0	0	0	0	1	27	25	30	0	18	0	0	0	14	20	25	18	13	0	16	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	5
1707261733	0	67	0	0	24	1	5	40	42	0	10	9	26	0	7	25	25	34	36	14	18	0	0	0	0	1	27	25	30	0	18	0	0	0	14	20	25	18	13	0	16	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	0	21	29	12	0	0	16	5
1707261807	0	66	1	0	24	0	5	40	40	0	9	9	25	0	7	25	25	34	36	14	18	0	0	0	0	1	27	25	30	0	18	0	0	0	14	20	25	18	13	0	15	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	-2	19	29	12	0	0	16	5
1707261822	0	65	1	0	24	0	5	40	40	0	8	9	25	0	7	25	25	34	36	14	18	0	0	0	0	1	27	25	30	0	18	0	0	0	14	20	25	18	13	0	15	14	0	-1	-1	-2	-1	0	0	0	9	0	22	5	-2	19	29	12	0	-1	16	4
1707261842	0	64	0	0	24	0	5	40	40	0	8	10	25	0	7	25	25	34	36	14	18	0	0	0	0	1	27	25	30	-1	18	0	0	0	14	20	25	18	13	0	15	14	0	-1	-1	-2	-1	0	0	0	9	-1	22	5	-2	19	29	12	0	-2	16	4
