date	ICYA1101_23475	ICYA1101C_28316	ICYA1110_14306	ICYA1110_27619	ICYA1110L_12754	ICYA1110L_12756	ICYA1110L_13094	ICYA1110L_13095	ICYA1110L_22750	ICYA1113_24323	ICYA1113C_13529	ICYA1114_16962	ICYA1114C_12770	ICYA1114C_28636	ICYA1114C_28637	ICYA1116_24324	ICYA1116_25165	ICYA1116_25166	ICYA1116C_12797	ICYA1116C_16981	ICYA1116C_20387	ICYA1116L_27890	ICYA1116L_27891	ICYA1116L_27892	ICYA1116L_27893	ICYA1117_14308	ICYA1117_15245	ICYA1117C_15144	ICYA1117C_15145	ICYA1117C_15146	ICYA1117C_15246	ICYA1117C_22788	ICYA1117C_25168	ICYA1117L_12818	ICYA1117L_12820	ICYA1117L_12826	ICYA1117L_15265	ICYA1117L_16540	ICYA1117L_22791	ICYA1117L_25171	ICYA1117L_25172	ICYA1117L_25174	ICYA1117L_27622	ICYA1117L_28712	ICYA1122_18822	ICYA1122_22797	ICYA1122L_12904	ICYA1122L_22798	ICYA1122L_22799	ICYA1122L_22800	ICYA1122L_22801	ICYA1122L_25175	ICYA1122L_25208	ICYA1122L_25211	ICYA1122L_27631	ICYA1125_13070	ICYA1125_18709	ICYA1125_22803	ICYA1125L_13071	ICYA1125L_13126	ICYA1125L_13127	ICYA1125L_16571	ICYA1125L_16572	ICYA1200A_15083	ICYA1500B_10248	ICYA2001_11103	ICYA2001_13100	ICYA2001_18716	ICYA2001C_13072	ICYA2001C_13101	ICYA2001C_18718	ICYA2070_11534	ICYA2101_24328	ICYA2101C_22875	ICYA2203_14310	ICYA2203_18723	ICYA2203C_13155	ICYA2203C_13224	ICYA2203C_21129	ICYA2203C_28731	ICYA2203C_28733	ICYA2203L_12292	ICYA2203L_12908	ICYA2203L_12909	ICYA2203L_12910	ICYA2203L_12911	ICYA2203L_18828	ICYA2203L_28680	ICYA2203L_28690	ICYA2304_21152	ICYA2304_27582	ICYA2304L_12913	ICYA2304L_12914	ICYA2304L_12915	ICYA2304L_16608	ICYA2304L_22881	ICYA2304L_23282	ICYA2304L_25233	ICYA2401_11400	ICYA2401_18754	ICYA2401C_12916	ICYA2401C_12917	ICYA2401C_18829	ICYA2401C_18830	ICYA2401L_13464	ICYA2401L_13502	ICYA2401L_13503	ICYA2401L_13504	ICYA2401L_13506	ICYA2401L_13507	ICYA2401L_13508	ICYA2401L_13509	ICYA2401L_13510	ICYA2401L_13511	ICYA2401L_13512	ICYA2401L_18831	ICYA2401L_20406	ICYA2401L_20407	ICYA2401L_20408	ICYA2401L_26115	ICYA2401L_27585	ICYA2402_11399	ICYA2402_20804	ICYA2402_27586	ICYA2402C_12918	ICYA2402C_12919	ICYA2402C_20409	ICYA2402C_20410	ICYA2402C_23294	ICYA2402L_13465	ICYA2402L_13513	ICYA2402L_13514	ICYA2402L_13516	ICYA2402L_13517	ICYA2402L_13518	ICYA2402L_13519	ICYA2402L_13520	ICYA2402L_13521	ICYA2402L_13522	ICYA2402L_13523	ICYA2402L_13524	ICYA2402L_20415	ICYA2402L_20418	ICYA2402L_20420	ICYA2402L_27587	ICYA2402L_27588	ICYA2406_24331	ICYA2406L_12920	ICYA2406L_12921	ICYA2406L_13731	ICYA2407_24332	ICYA2407L_12922	ICYA2407L_12923	ICYA2412_27681	ICYA2412C_27684	ICYA2412C_27685	ICYA2412L_13466	ICYA2412L_13525	ICYA2412L_13526	ICYA2412L_22883	ICYA3078_14312	ICYA3078C_13149	ICYA3078C_22885	ICYA3079_24333	ICYA3079C_13151	ICYA3102_10195	ICYA3103_10196	ICYA3104_10602	ICYA3107_24334	ICYA3108_24335	ICYA3202_14315	ICYA3202_28563	ICYA3202C_13156	ICYA3202C_21254	ICYA3203_14316	ICYA3203_22891	ICYA3203C_12925	ICYA3203C_13564	ICYA3203C_22892	ICYA3203C_22893	ICYA3203C_23426	ICYA3305_14317	ICYA3305_22894	ICYA3305L_12927	ICYA3305L_13140	ICYA3305L_19060	ICYA3305L_20421	ICYA3305L_20426	ICYA3305L_22895	ICYA3305L_22896	ICYA3305L_23569	ICYA3305L_27589	ICYA3306_24337	ICYA3306_27590	ICYA3306L_12928	ICYA3306L_12929	ICYA3306L_13142	ICYA3306L_15058	ICYA3307_14318	ICYA3307_22897	ICYA3307C_13152	ICYA3307C_22898	ICYA3308_24339	ICYA3401_14319	ICYA3401_20806	ICYA3401C_12931	ICYA3401C_12932	ICYA3401C_12969	ICYA3401C_16989	ICYA3401C_20423	ICYA3406_24341	ICYA3406L_13424	ICYA3406L_13527	ICYA3406L_22902	ICYA3408_24343	ICYA3408L_13073	ICYA3408L_13153	ICYA3408L_17147	ICYA3408L_17148	ICYA3501_24345	ICYA3501L_16548	ICYA3501L_16549	ICYA3501L_16550	ICYA3501L_27591	ICYA3601_24347	ICYA3601L_13580	ICYA3601L_13581	ICYA3601L_16583	ICYA3601L_16584	ICYA3702_24351	ICYA3702L_16990	ICYA3702L_16992	ICYA3702L_16994	ICYA3702L_20434	ICYA3702L_27592	ICYA3702L_27756	ICYA3991_24353	ICYA4070_10692	ICYA4071_10647	ICYA4103_26793	ICYA4104_26794	ICYA4107_27807	ICYA4131_26798	ICYA4133_26799	ICYA4139_26801	ICYA4160_26803	ICYA4161_26804	ICYA4203_24389	ICYA4206_26806	ICYA4209_11386	ICYA4211_11387	ICYA4212_25839	ICYA4213_25840	ICYA4214_25841	ICYA4216_25842	ICYA4217_25843	ICYA4218_25844	ICYA4219_26000	ICYA4290_24391	ICYA4291_24392	ICYA4292_21852	ICYA4293_21853	ICYA4301_24393	ICYA4305_26807	ICYA4309_26808	ICYA4314_26809	ICYA4317_26810	ICYA4317C_27749	ICYA4317C_27751	ICYA4325_27839	ICYA4326_27842	ICYA4350_24417	ICYA4408_26822	ICYA4416_26827	ICYA4423_26828	ICYA4448_26831	ICYA4506_27811	ICYA4507_27830	ICYA4509_27831	ICYA4511_27836	ICYA4532_26833	ICYA4607_26836	ICYA4610_26837	ICYA4612_27845	ICYA4613_27846	ICYA4703_26839	ICYA4715_26842	ICYA4718_26844	ICYA4802_27598	ICYA4804_26847	ICYA4805_26848	ICYA4809_26849	ICYA4813_27945	ICYA6002_13931	ICYA6007_24491	ICYA6402_13842	ICYA6961_26856	ICYA6962_26857	ICYA6963_26858	ICYA6970_13846	ICYA6980_13847	ICYA6981_13848	ICYA6982_13849	ICYA6990_13850	ICYA6997_13851	ICYA6998_28341
1707241129	62	62	55	55	22	22	22	22	22	49	49	3	0	0	3	49	39	40	49	39	40	32	33	33	32	69	70	27	27	26	27	27	27	14	13	14	14	14	14	14	14	14	14	0	55	53	12	12	12	12	12	13	11	12	12	0	79	79	33	32	33	32	33	21	50	60	59	60	60	60	59	150	78	78	58	60	39	40	39	0	0	20	20	19	20	19	20	0	0	60	59	18	17	18	18	18	18	18	89	70	40	40	39	40	10	10	9	9	10	8	10	9	10	9	9	9	10	9	9	10	10	59	60	60	35	36	36	36	36	10	10	10	10	10	11	11	10	11	11	11	11	11	11	11	10	10	64	21	22	22	60	30	30	39	20	19	10	10	10	9	90	45	45	55	55	100	55	10	60	100	60	60	60	60	49	50	20	20	20	20	19	50	49	11	10	11	11	11	12	11	11	11	50	50	25	25	25	25	50	49	50	49	60	75	75	30	30	30	30	30	65	23	23	23	60	15	15	15	15	80	20	20	20	20	70	18	18	18	18	65	12	12	12	12	12	12	50	200	50	50	50	48	50	50	46	49	45	10	23	83	10	29	50	50	18	50	50	10	24	10	50	10	56	60	59	57	58	28	30	48	60	47	44	38	50	50	45	47	48	49	50	50	50	50	49	44	44	43	49	50	50	50	35	10	10	10	20	20	20	20	20	20	20	20	20	20
1707241147	62	62	55	55	22	22	22	22	22	49	49	3	0	0	3	49	39	40	49	39	40	32	33	33	32	69	70	27	27	26	27	27	27	14	13	14	14	14	14	14	14	14	14	0	55	53	12	12	12	12	12	13	11	12	12	0	79	79	33	32	33	32	33	21	50	60	59	60	60	60	59	150	78	78	58	60	39	40	39	0	0	20	20	19	20	19	20	0	0	60	59	18	17	18	18	18	18	18	89	70	40	40	39	40	10	10	9	9	10	8	10	9	10	9	9	9	10	9	9	10	10	59	60	60	35	36	36	36	36	10	10	10	10	10	11	11	10	11	11	11	11	11	11	11	10	10	63	21	21	22	60	30	30	39	20	19	10	10	10	9	90	45	45	55	55	100	55	10	60	100	60	60	60	60	49	50	20	20	20	20	19	50	49	11	10	11	11	11	12	11	11	11	50	50	25	25	25	25	50	49	50	49	60	75	75	30	30	30	30	30	65	23	23	23	60	15	15	15	15	80	20	20	20	20	70	18	18	18	18	65	12	12	12	12	12	12	50	200	50	49	50	48	50	50	45	48	42	10	22	81	10	24	45	44	17	49	46	10	15	8	49	10	52	59	53	50	43	20	23	48	60	46	41	35	50	49	45	47	46	47	50	49	50	49	47	41	40	43	48	48	49	50	35	10	10	10	20	20	20	20	20	20	20	20	20	20
1707241221	63	63	55	55	22	22	22	22	22	48	48	2	0	0	2	49	39	40	49	39	40	32	33	33	32	69	70	27	27	26	27	27	27	14	13	14	14	14	14	14	14	14	14	0	55	53	12	12	12	12	12	13	11	12	12	0	79	79	33	32	33	32	33	21	50	60	59	60	60	60	59	150	78	78	58	60	39	40	39	0	0	20	20	19	20	19	20	0	0	60	59	18	17	18	18	18	18	18	89	70	40	40	39	40	10	10	9	9	10	9	10	9	9	9	9	9	10	9	9	10	10	59	60	60	35	36	36	36	36	10	10	10	10	10	11	11	10	11	11	11	11	11	11	11	10	10	63	21	21	22	60	30	30	39	20	19	10	10	10	9	90	45	45	55	55	100	55	10	60	100	60	60	60	60	49	50	20	20	20	20	19	50	49	11	10	11	11	11	12	11	11	11	50	50	25	25	25	25	50	49	50	49	60	75	75	30	30	30	30	30	65	23	23	23	60	15	15	15	15	80	20	20	20	20	70	18	18	18	18	65	12	12	12	12	12	12	50	200	50	49	50	48	50	50	45	47	42	10	22	79	10	23	43	43	17	49	44	10	14	8	49	10	52	59	51	50	41	18	23	48	60	46	39	35	50	48	45	46	46	47	50	49	50	48	45	40	40	43	47	48	49	50	35	10	10	10	20	20	20	20	20	20	20	20	20	20
1707241307	63	63	55	55	22	22	22	22	22	48	48	2	0	0	2	49	39	40	49	39	40	32	33	33	32	69	70	27	27	26	27	27	27	14	13	14	14	14	14	14	14	14	14	0	55	53	12	12	12	12	12	13	11	12	12	0	79	79	33	32	33	32	33	20	50	60	59	60	60	60	59	150	78	78	58	60	39	40	39	0	0	20	20	19	20	19	20	0	0	60	59	18	17	18	18	18	18	18	89	70	40	40	39	40	10	10	9	9	10	9	10	9	9	9	9	9	10	9	9	10	10	59	60	60	35	36	36	36	36	10	10	10	10	10	11	11	10	11	11	11	11	11	11	11	10	10	63	21	21	22	60	30	30	39	20	19	10	10	10	9	90	45	45	55	55	100	55	10	60	100	60	60	60	60	49	50	20	20	20	20	19	50	49	11	10	11	11	11	12	11	11	11	50	50	25	25	25	25	50	49	50	49	60	75	75	30	30	30	30	30	65	23	23	23	60	15	15	15	15	80	20	20	20	20	70	18	18	18	18	65	12	12	12	12	12	12	50	200	50	49	49	48	50	50	42	47	41	10	22	78	10	22	43	41	16	49	44	10	14	7	47	10	51	59	50	50	41	19	22	48	59	46	36	35	50	46	45	46	45	47	50	49	50	48	44	40	40	43	46	47	49	50	35	10	10	10	20	20	20	20	20	20	20	20	20	20
1707241415	63	63	55	55	22	22	22	22	22	48	48	2	0	0	2	49	39	40	49	39	40	32	33	33	32	69	70	27	27	26	27	27	27	14	13	14	14	14	14	14	14	14	14	0	55	53	12	12	12	12	12	13	11	12	12	0	79	79	33	32	33	32	33	20	50	60	59	60	60	60	59	150	78	78	58	60	39	40	39	0	0	20	20	19	20	19	20	0	0	60	59	18	17	18	18	18	18	18	89	70	40	40	39	40	10	10	9	9	10	9	10	9	9	9	9	9	10	9	9	10	10	59	60	60	35	36	36	36	36	10	10	10	10	10	11	11	10	11	11	11	11	11	11	11	10	10	63	21	21	22	60	30	30	39	20	19	10	10	10	9	90	45	45	55	55	100	55	10	60	100	60	60	60	60	49	50	20	20	20	20	19	50	49	11	10	11	11	11	12	11	11	11	50	50	25	25	25	25	50	49	50	49	60	75	75	30	30	30	30	30	65	23	23	23	60	15	15	15	15	80	20	20	20	20	70	18	18	18	18	65	12	12	12	12	12	12	50	200	50	46	49	48	50	49	42	47	37	10	19	77	10	17	40	37	15	48	43	10	8	7	46	9	43	58	45	41	24	8	16	48	55	46	33	35	50	45	44	46	45	45	50	45	48	48	42	39	37	43	45	47	49	49	34	10	10	10	20	20	20	20	20	20	20	20	20	20
1707241512	62	62	51	54	21	18	22	22	22	48	48	1	0	0	1	47	39	39	47	39	39	31	32	32	32	68	69	26	27	26	26	27	27	14	13	14	14	12	14	14	14	14	14	0	54	52	12	12	12	10	12	13	11	12	12	0	79	78	32	32	33	32	33	19	50	57	55	59	57	58	56	150	78	78	55	60	36	40	39	0	0	18	20	19	19	19	20	0	0	58	57	18	16	17	18	17	18	17	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	57	58	60	31	36	36	36	36	10	8	10	10	9	11	11	9	11	11	11	11	11	11	11	10	10	61	19	21	22	56	28	28	39	20	19	10	10	10	9	87	42	45	55	55	97	55	10	59	95	55	60	55	60	47	48	18	19	19	20	19	48	46	10	10	11	11	11	10	9	11	11	50	50	25	25	25	25	49	49	49	49	60	71	75	30	28	30	29	29	65	23	23	23	60	15	15	15	15	77	18	20	20	19	69	18	18	18	17	63	11	11	12	12	12	12	50	200	50	46	48	48	49	49	41	47	34	10	16	74	10	12	35	33	13	48	42	10	6	5	44	8	42	57	39	35	19	8	11	48	53	46	30	33	50	43	44	45	45	44	49	44	45	48	40	38	33	41	45	47	49	49	33	10	10	10	20	20	20	19	20	19	20	19	20	17
1707241556	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	47	39	39	47	39	39	31	32	32	32	67	69	26	26	26	26	27	27	14	13	14	14	11	14	14	14	14	14	0	54	52	12	12	12	10	12	13	11	12	12	0	79	78	32	32	33	32	33	18	49	57	53	59	56	58	55	150	78	78	55	60	36	40	39	0	0	19	19	19	19	19	20	0	0	58	56	18	16	16	18	18	17	17	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	9	10	8	9	9	10	56	57	60	31	36	35	35	36	10	8	10	10	8	11	11	10	11	10	11	11	11	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	82	37	45	55	55	92	53	10	59	93	53	59	53	59	46	46	18	18	19	18	19	47	46	10	10	11	11	11	9	9	11	11	48	50	24	25	24	25	48	49	48	49	60	70	73	29	28	30	28	28	63	21	23	23	60	15	15	15	15	76	17	20	20	19	69	18	18	18	17	62	11	10	12	12	12	12	49	200	50	45	48	48	48	49	41	47	33	10	16	73	10	11	34	32	11	47	42	10	5	5	43	7	42	58	38	31	17	7	10	48	53	45	29	33	49	41	44	45	45	44	49	44	45	48	40	38	33	40	45	47	49	49	33	9	10	10	19	20	20	19	18	18	20	19	20	17
1707241623	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	47	39	39	47	39	39	31	32	32	32	67	69	26	26	26	26	27	27	14	13	14	14	11	14	14	14	14	14	0	54	52	12	12	12	10	12	13	11	12	12	0	79	78	32	32	33	32	33	18	49	57	53	59	56	58	55	150	78	78	55	60	36	40	39	0	0	18	20	19	19	19	20	0	0	58	56	18	16	16	18	18	17	17	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	56	57	60	31	36	35	35	36	10	8	10	10	8	11	11	10	11	10	11	11	11	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	73	30	43	55	55	82	50	10	59	91	52	58	52	58	46	45	18	18	19	17	19	46	46	9	10	11	11	11	9	9	11	11	46	48	22	23	24	25	46	47	46	47	59	69	73	29	28	30	28	27	62	20	23	23	60	15	15	15	15	76	17	20	20	19	67	18	16	18	17	62	11	10	12	12	12	12	49	200	50	45	48	47	47	49	41	47	33	10	16	73	10	11	33	31	11	47	42	10	5	5	43	7	40	56	37	26	16	6	10	48	53	45	27	32	49	40	44	44	45	44	49	41	45	48	36	38	33	40	45	47	49	48	32	9	10	10	19	20	20	19	18	16	20	19	20	16
1707241717	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	78	77	32	32	33	31	32	18	49	57	53	59	55	59	55	150	78	78	55	60	36	40	39	0	0	18	20	19	19	19	20	0	0	57	56	18	15	16	18	18	17	17	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	71	29	42	53	53	79	46	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	9	10	11	11	11	9	9	11	11	45	47	23	20	24	25	45	46	45	46	59	67	73	29	27	29	28	27	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	48	200	50	45	48	45	45	49	41	46	32	10	16	72	10	8	31	29	11	46	42	10	5	5	43	6	39	56	35	25	16	6	10	48	51	45	25	30	49	41	44	44	45	44	49	41	45	48	34	36	31	39	45	47	49	48	32	9	10	10	19	20	20	18	18	16	20	19	20	15
1707241814	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	76	32	32	33	31	32	18	49	57	53	59	55	59	55	150	78	78	55	60	36	40	39	0	0	18	20	19	19	19	20	0	0	57	56	18	15	16	18	18	17	17	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	71	29	42	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	9	10	11	11	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	59	67	73	29	27	29	28	27	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	48	200	50	45	48	45	45	49	41	46	32	10	16	72	10	8	29	27	11	46	42	10	5	5	43	6	39	56	35	23	16	6	10	48	51	45	25	30	49	41	44	44	45	44	49	41	45	48	33	36	29	39	45	45	49	48	32	9	10	10	19	20	20	17	18	16	20	19	20	15
1707241848	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	76	32	32	33	31	32	18	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	9	10	11	11	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	59	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	48	200	50	45	48	45	45	49	41	46	32	10	16	72	10	8	29	27	11	46	42	10	5	5	43	6	39	56	35	23	16	6	10	48	51	45	24	29	49	42	44	44	45	44	49	41	45	48	33	36	29	39	45	45	49	48	32	9	10	10	19	20	20	17	18	16	20	19	20	15
1707242034	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	76	32	32	33	31	32	18	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	10	10	11	10	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	58	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	46	200	50	45	48	45	45	49	41	46	31	10	16	72	10	8	27	27	10	46	42	10	5	5	43	5	39	56	34	21	16	6	10	48	50	45	23	29	48	42	44	44	45	44	49	40	45	48	33	36	29	39	45	45	49	48	32	9	10	10	19	20	20	17	18	16	19	19	20	15
1707242132	62	62	50	54	21	18	22	21	22	48	48	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	76	32	32	33	31	32	18	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	10	10	11	10	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	58	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	46	200	50	45	48	45	45	49	41	46	31	10	16	72	10	10	27	27	8	46	42	10	5	5	43	5	39	56	34	21	15	5	10	48	49	45	23	29	48	42	44	44	45	44	49	40	45	48	33	36	29	39	45	45	49	48	32	9	10	9	19	20	20	17	18	16	19	19	20	15
1707242210	62	62	49	54	21	18	22	20	22	47	47	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	75	31	32	33	31	32	19	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	56	28	28	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	10	10	11	10	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	58	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	46	200	50	44	48	45	45	49	41	46	31	10	16	72	10	9	25	27	8	46	42	10	5	5	42	5	39	56	34	21	15	5	10	48	49	45	23	29	48	41	44	44	45	44	49	40	45	48	33	36	29	39	44	43	49	48	31	9	10	9	19	20	20	17	18	16	19	19	20	15
1707242307	62	62	49	54	21	18	22	20	22	47	47	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	75	31	32	33	31	32	20	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	57	28	29	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	10	10	11	10	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	58	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	46	200	50	44	48	45	45	49	40	46	31	10	16	72	10	9	25	27	8	46	42	10	5	5	42	5	39	56	34	19	15	5	10	48	48	45	23	29	48	41	44	44	46	44	49	40	45	48	33	36	29	39	44	42	49	48	31	9	10	9	19	20	20	17	18	16	19	19	20	15
1707242329	62	62	49	54	21	18	22	20	22	47	47	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	75	31	32	33	31	32	20	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	57	28	29	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	10	10	11	10	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	58	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	46	200	50	44	48	45	45	49	40	46	31	10	16	72	10	9	25	27	8	46	42	10	5	5	42	5	39	56	34	19	15	5	10	48	48	45	23	29	48	41	44	44	46	44	49	40	45	48	33	36	29	39	44	42	49	48	31	9	10	9	19	20	20	17	18	16	19	19	20	15
1707242343	62	62	49	54	21	18	22	20	22	47	47	0	0	0	0	46	39	39	46	39	39	31	32	32	31	66	68	25	26	26	25	27	27	14	12	14	14	11	14	14	13	14	14	0	53	50	12	12	12	9	11	13	10	12	12	0	79	75	31	32	33	31	32	20	49	57	53	59	55	59	55	150	78	78	55	60	37	40	38	0	0	17	20	19	20	19	20	0	0	57	56	17	15	16	18	18	17	18	88	68	40	40	37	39	10	10	9	9	10	9	10	9	9	9	8	8	10	8	9	10	10	54	56	60	30	36	34	35	35	10	8	9	10	7	11	11	10	11	10	11	11	10	11	11	10	9	61	19	21	22	57	28	29	39	20	19	10	10	10	9	71	30	41	53	53	79	44	10	59	90	52	56	52	56	46	44	18	17	19	17	19	46	46	10	10	11	10	11	9	9	11	11	45	47	23	21	23	25	45	46	45	46	58	66	74	29	27	29	27	28	59	17	23	23	59	15	14	15	15	76	17	20	20	19	64	17	14	18	17	62	11	10	12	12	12	12	46	200	50	44	48	45	45	49	40	46	31	10	16	72	10	9	25	27	8	46	42	10	5	5	42	5	39	56	34	19	15	5	10	48	48	45	23	29	48	41	44	44	46	44	49	40	45	48	33	36	29	39	44	42	49	48	31	9	10	9	19	20	20	17	18	16	19	19	20	15
