date	DISE1000_11528	DISE1000_11621	DISE1000_11639	DISE1000_11640	DISE1000_12199	DISE1000_12200	DISE1000_12201	DISE1000_13012	DISE1000_13013	DISE1000_17123	DISE1000_23683	DISE1106_12022	DISE1106_12578	DISE1106_12579	DISE1106_28741	DISE1107_11303	DISE1107_11388	DISE1107_11389	DISE1107_18882	DISE1204_10598	DISE1204_10724	DISE1223B_10668	DISE1223B_11085	DISE1231B_10529	DISE1240A_12276	DISE1301_10682	DISE1301_10712	DISE1301_23278	DISE1312_10683	DISE1312_10701	DISE1312_10702	DISE1312_10805	DISE1312_14141	DISE1314_10684	DISE1316_11529	DISE1317_25895	DISE1401_10913	DISE1403_10685	DISE1403_10995	DISE1403_13150	DISE1405_13161	DISE1405_13162	DISE1405_13163	DISE1405_13164	DISE1415_13112	DISE1415_15111	DISE1501_12024	DISE2100_11304	DISE2100_11390	DISE2100_11391	DISE2100_28250	DISE2101_11305	DISE2101_11392	DISE2101_11393	DISE2112_13267	DISE2122_11530	DISE2132_23495	DISE2200_10526	DISE2200_10527	DISE2306_10914	DISE2306_12133	DISE2307_10915	DISE2308_10916	DISE2308_18832	DISE2309_10917	DISE2356_10918	DISE2356_22988	DISE2357_10919	DISE2358_11056	DISE2359_10920	DISE2501_12594	DISE2502_13188	DISE2503_13190	DISE2506_15483	DISE2509_10686	DISE2512_24042	DISE2515_25903	DISE2517_10811	DISE2517_10996	DISE2521_13165	DISE2521_13166	DISE2524_11081	DISE2525_13055	DISE2531_13167	DISE2601_10812	DISE2603_11306	DISE2606_23290	DISE2607_19245	DISE2610_10687	DISE2616_13169	DISE2618_12670	DISE2619_24044	DISE2621_18753	DISE2628_12277	DISE2631_26546	DISE2633_26548	DISE2634_21531	DISE2635_23530	DISE2636_28335	DISE3125_11308	DISE3129_11309	DISE3144_16093	DISE3146_18719	DISE3147_20815	DISE3148_28338	DISE3150_25806	DISE3152_26045	DISE3199_12590	DISE3199_12595	DISE3199_12609	DISE3199_12610	DISE3199_12611	DISE3199_12612	DISE3199_12613	DISE3199_12615	DISE3199_12616	DISE3199_12617	DISE3199_12618	DISE3199_12619	DISE3199_12620	DISE3199_12621	DISE3199_12622	DISE3199_12623	DISE3199_12624	DISE3199_12625	DISE3199_12627	DISE3199_12629	DISE3199_12631	DISE3199_12632	DISE3199_12634	DISE3199_12637	DISE3199_12638	DISE3199_12639	DISE3199_12640	DISE3199_12642	DISE3199_12643	DISE3199_12987	DISE3199_13000	DISE3199_13180	DISE3199_23412	DISE3199_23413	DISE3199_25731	DISE3199_26007	DISE3199_28567	DISE3199_28568	DISE3202_10921	DISE3205_18799	DISE3207_23537	DISE3208_25799	DISE3220_11532	DISE3227_13245	DISE3227_13553	DISE3236_12249	DISE3245_14973	DISE3246_25828	DISE3248_28620	DISE3249_28621	DISE3250_28625	DISE3336_10813	DISE3344_11310	DISE3349_23307	DISE3350_12278	DISE3351_26550	DISE3353_21184	DISE3355_28627	DISE3356_28628	DISE3357_28629	DISE3423_16651	DISE3424_25964	DISE3425_14243	DISE3430_21173	DISE3431_24050	DISE3432_28535	DISE3433_28536	DISE3434_28630	DISE3438_13191	DISE3503_12025	DISE3505_12026	DISE3507_24052	DISE3509_12027	DISE3511_13056	DISE3602_12028	DISE3603_12029	DISE3604_23534	DISE3703_21187	DISE3703_23674	DISE3704_28631	DISE3990_25127	DISE3991_25128	DISE3992_25129
1707241129	13	13	13	4	9	17	22	17	19	0	0	5	7	0	0	30	30	30	15	11	21	50	49	53	36	9	4	7	0	3	20	13	18	10	2	16	20	20	20	20	19	20	19	20	20	19	47	30	30	30	0	30	30	30	30	30	30	50	50	40	40	80	70	0	70	39	40	80	70	70	20	19	19	20	20	20	20	20	20	15	15	20	19	20	19	20	20	20	20	15	20	20	19	20	20	20	20	20	20	15	15	15	15	15	30	24	14	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	30	30	20	30	29	20	20	20	20	40	20	20	20	20	40	20	19	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	100	15	15
1707241147	13	13	13	4	8	17	22	17	19	0	0	5	7	0	0	30	30	30	15	12	20	50	49	53	36	9	4	7	0	3	20	13	18	10	2	16	20	20	20	20	19	20	19	20	20	19	47	30	30	30	0	30	30	30	30	30	30	50	50	40	40	80	70	0	70	39	40	80	70	70	20	19	19	20	20	20	20	20	20	15	15	20	19	20	19	20	20	20	20	15	20	20	19	20	20	20	20	20	20	15	15	15	15	15	30	24	14	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	30	30	20	30	29	20	20	20	20	40	20	20	20	20	40	20	19	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	100	15	15
1707241221	13	13	13	3	7	16	22	17	18	0	0	5	7	0	0	30	30	30	15	11	20	50	49	53	36	8	4	7	0	3	20	13	18	10	1	16	20	20	20	20	19	20	19	20	20	19	47	30	30	30	0	30	30	30	30	30	30	50	50	40	40	80	70	0	70	39	40	80	70	70	20	19	19	20	20	20	20	20	20	15	15	20	19	20	19	20	20	20	20	15	20	20	19	20	20	20	20	20	20	15	15	15	15	14	30	24	14	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	30	30	20	30	29	20	20	20	20	40	20	20	20	19	40	20	19	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	100	15	15
1707241307	13	13	13	3	6	16	21	16	18	0	0	5	6	0	0	30	30	30	15	9	20	50	49	53	36	8	4	7	0	3	19	13	18	10	1	15	20	20	20	20	19	20	19	20	20	19	47	30	30	30	0	30	30	30	30	30	30	50	50	40	40	80	70	0	70	39	40	80	70	70	20	19	19	20	20	20	20	20	20	15	15	20	19	20	19	20	20	20	20	15	20	20	19	20	20	20	20	20	20	15	15	15	15	14	30	24	14	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	30	30	20	30	29	20	20	20	20	40	20	20	20	19	40	20	19	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	100	15	15
1707241415	13	13	13	3	5	16	19	16	19	0	0	5	5	0	0	30	30	30	15	8	20	51	48	53	36	7	3	7	0	3	18	13	18	10	2	16	20	20	20	20	19	20	19	20	20	19	47	30	30	30	0	30	30	30	30	30	30	50	50	40	40	80	70	0	70	39	40	80	70	70	20	19	19	20	20	20	20	20	20	15	15	20	19	20	19	20	20	20	20	15	20	20	19	20	20	20	20	20	20	15	15	15	15	14	30	24	14	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	30	30	20	30	29	20	20	20	20	40	20	20	20	19	40	20	19	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	19	20	20	20	20	20	20	20	20	20	100	15	15
1707241512	12	13	12	2	6	17	19	16	19	0	0	5	5	0	0	29	30	30	15	8	18	51	46	53	34	7	3	6	0	1	18	13	18	10	2	16	20	20	20	20	19	20	19	20	19	19	47	29	30	30	0	29	30	29	29	30	30	50	50	40	40	77	69	0	69	39	38	78	70	70	20	18	18	20	19	19	20	20	20	15	14	20	18	20	18	20	20	19	20	15	19	20	19	20	20	20	20	20	20	15	14	15	14	14	30	24	14	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	30	30	20	30	29	20	20	20	20	40	20	20	20	19	40	20	17	20	20	20	20	19	20	20	20	20	18	20	20	20	20	20	19	20	18	20	20	20	20	20	20	18	100	14	15
1707241556	12	13	12	2	5	17	17	16	18	0	0	5	3	0	0	29	30	30	15	8	17	50	45	51	33	6	3	5	0	1	18	12	18	10	2	16	20	20	20	19	19	20	19	20	19	19	47	29	30	30	0	29	30	28	29	29	30	49	50	40	40	77	68	0	67	39	38	78	70	67	20	18	18	20	19	19	20	20	20	15	12	20	18	20	17	19	20	18	20	15	19	20	19	20	20	20	20	20	20	15	13	15	14	14	30	24	14	2	2	2	0	2	2	0	0	2	2	1	2	2	2	2	0	2	2	3	2	2	2	2	2	1	2	1	2	3	3	3	3	3	3	3	3	3	3	29	30	20	29	27	20	20	20	20	39	20	20	20	19	39	20	16	20	17	19	17	16	18	20	20	20	13	18	19	20	17	20	19	20	18	20	20	20	20	20	16	17	93	14	15
1707241623	11	13	12	1	5	17	17	16	18	0	0	5	3	0	0	29	30	30	15	8	17	49	46	48	33	6	3	5	0	1	18	12	18	10	2	16	20	20	20	19	19	20	19	20	19	19	47	28	30	30	0	29	30	28	29	29	30	48	50	40	40	76	66	0	65	39	38	78	69	65	20	17	18	19	19	19	20	20	19	15	12	20	17	17	17	18	20	18	20	13	19	20	18	19	20	20	20	20	19	15	13	15	12	14	29	24	14	2	2	2	-1	2	1	0	1	1	2	1	2	1	2	2	0	2	2	3	2	2	2	2	2	0	2	0	2	3	3	3	2	3	3	3	3	2	3	29	30	20	29	27	20	19	20	20	39	20	19	20	19	38	19	16	19	17	19	12	15	18	20	20	20	12	18	19	20	17	20	19	19	17	19	19	19	18	20	15	17	90	14	15
1707241717	11	13	12	0	0	16	17	15	18	0	0	4	3	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	20	19	19	47	28	30	30	0	29	30	28	29	29	30	48	50	40	40	76	66	0	65	39	38	77	69	65	20	16	18	19	19	19	20	20	19	14	12	20	17	16	17	17	20	18	20	13	18	20	19	19	20	20	19	20	18	15	13	15	12	14	29	22	14	2	0	2	0	2	0	0	1	0	2	0	2	1	2	2	0	2	2	3	2	2	2	1	1	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	20	19	19	17	18	17	18	18	18	15	17	84	13	14
1707241814	11	13	12	0	0	15	17	15	18	0	0	4	3	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	48	50	40	40	76	66	0	65	39	38	77	69	65	20	16	18	19	19	19	20	20	19	14	12	19	17	16	17	16	20	18	20	13	18	20	19	19	20	20	19	20	18	15	13	15	12	14	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	2	0	2	2	3	2	2	2	1	1	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	20	19	19	17	18	17	18	18	18	15	17	83	13	14
1707241848	11	13	12	0	0	14	18	15	18	0	0	4	3	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	48	50	40	40	76	66	0	65	39	38	77	69	65	20	16	18	19	19	19	20	20	19	14	12	19	17	16	17	16	20	18	20	13	18	20	19	19	20	20	19	20	18	15	13	15	12	14	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	2	0	2	2	3	2	2	2	1	1	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	20	19	19	17	18	17	18	18	18	15	17	83	12	14
1707242034	11	13	12	0	0	13	17	15	18	0	0	4	2	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	47	50	40	40	76	66	0	65	39	38	77	69	65	20	16	18	19	19	19	20	20	19	14	12	19	17	16	17	16	20	18	20	13	18	20	19	19	20	20	19	20	18	15	13	15	12	13	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	1	0	2	2	3	2	2	2	1	1	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	20	19	19	17	18	17	18	18	18	15	17	82	11	14
1707242132	11	13	12	0	0	13	16	15	18	0	0	4	2	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	47	50	40	40	76	66	0	65	39	38	77	69	65	20	16	18	19	19	19	20	20	19	14	12	19	17	16	17	16	20	18	19	13	18	20	19	19	20	20	19	20	18	15	13	15	12	13	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	1	0	2	2	3	2	2	2	1	1	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	20	19	19	17	18	17	18	18	18	15	17	80	11	14
1707242210	11	13	12	0	0	13	16	15	18	0	0	4	2	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	47	50	40	40	76	66	0	65	39	38	77	69	65	20	16	18	19	19	19	20	20	19	14	12	19	17	16	17	16	20	18	19	13	18	20	19	19	20	20	19	20	18	15	13	15	12	13	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	1	0	2	2	3	2	2	2	1	1	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	20	19	19	17	18	17	18	18	18	15	17	80	11	14
1707242307	11	13	12	0	0	13	16	15	18	0	0	4	2	0	0	29	30	30	15	7	17	49	45	48	33	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	47	50	40	40	76	67	0	65	39	38	77	69	65	20	16	18	19	18	19	20	20	19	14	12	19	17	16	17	16	20	18	19	13	18	20	19	19	20	20	19	20	18	15	13	15	12	13	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	1	0	2	2	3	2	2	2	1	0	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	19	18	19	17	18	17	18	18	18	15	17	80	11	14
1707242329	11	13	12	0	0	13	16	15	18	0	0	4	2	0	0	29	30	30	15	7	17	49	45	47	32	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	47	50	40	40	76	67	0	65	39	38	77	69	65	20	16	18	19	18	19	20	20	19	14	12	19	17	16	17	16	20	18	19	13	18	20	19	19	20	20	19	20	18	15	13	15	12	13	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	1	0	2	2	3	2	2	2	1	0	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	19	18	19	17	18	17	17	18	18	15	17	80	11	14
1707242343	11	13	12	0	0	13	16	15	18	0	0	4	2	0	0	29	30	30	15	7	17	49	45	47	32	6	3	5	0	0	17	13	18	10	2	14	20	20	20	19	19	20	19	19	19	19	47	28	30	30	0	29	30	28	29	29	30	47	50	40	40	76	67	0	65	39	38	77	69	65	20	16	18	19	18	19	20	20	19	14	12	19	17	16	17	16	20	18	19	13	18	20	19	19	20	20	19	20	18	15	13	15	12	13	29	22	14	2	0	2	0	2	0	0	0	1	2	0	2	1	2	1	0	2	2	3	2	2	2	1	0	0	2	0	1	3	1	2	0	3	3	3	3	0	3	29	29	20	29	27	20	19	19	20	39	20	19	19	19	38	18	15	17	17	19	6	14	18	20	20	20	12	18	18	19	16	19	18	19	17	18	17	17	18	18	15	17	80	11	14
